,anio,mes,alcaldia,numero_denuncias
846,2016,Julio,VENUSTIANO CARRANZA,83
847,2016,Agosto,VENUSTIANO CARRANZA,83
848,2016,Septiembre,VENUSTIANO CARRANZA,80
849,2016,Octubre,VENUSTIANO CARRANZA,73
850,2016,Noviembre,VENUSTIANO CARRANZA,82
851,2016,Diciembre,VENUSTIANO CARRANZA,63
852,2017,Enero,VENUSTIANO CARRANZA,65
853,2017,Febrero,VENUSTIANO CARRANZA,74
854,2017,Marzo,VENUSTIANO CARRANZA,73
855,2017,Abril,VENUSTIANO CARRANZA,78
856,2017,Mayo,VENUSTIANO CARRANZA,86
857,2017,Junio,VENUSTIANO CARRANZA,95
858,2017,Julio,VENUSTIANO CARRANZA,64
859,2017,Agosto,VENUSTIANO CARRANZA,92
860,2017,Septiembre,VENUSTIANO CARRANZA,88
861,2017,Octubre,VENUSTIANO CARRANZA,95
862,2017,Noviembre,VENUSTIANO CARRANZA,67
863,2017,Diciembre,VENUSTIANO CARRANZA,68
864,2018,Enero,VENUSTIANO CARRANZA,95
865,2018,Febrero,VENUSTIANO CARRANZA,92
866,2018,Marzo,VENUSTIANO CARRANZA,111
867,2018,Abril,VENUSTIANO CARRANZA,104
868,2018,Mayo,VENUSTIANO CARRANZA,109
869,2018,Junio,VENUSTIANO CARRANZA,105
870,2018,Julio,VENUSTIANO CARRANZA,102
871,2018,Agosto,VENUSTIANO CARRANZA,109
872,2018,Septiembre,VENUSTIANO CARRANZA,124
873,2018,Octubre,VENUSTIANO CARRANZA,97
874,2018,Noviembre,VENUSTIANO CARRANZA,76
875,2018,Diciembre,VENUSTIANO CARRANZA,89
876,2019,Enero,VENUSTIANO CARRANZA,80
877,2019,Febrero,VENUSTIANO CARRANZA,73
878,2019,Marzo,VENUSTIANO CARRANZA,134
879,2019,Abril,VENUSTIANO CARRANZA,152
880,2019,Mayo,VENUSTIANO CARRANZA,156
881,2019,Junio,VENUSTIANO CARRANZA,139
882,2019,Julio,VENUSTIANO CARRANZA,131
883,2019,Agosto,VENUSTIANO CARRANZA,148
884,2019,Septiembre,VENUSTIANO CARRANZA,173
885,2019,Octubre,VENUSTIANO CARRANZA,133
886,2019,Noviembre,VENUSTIANO CARRANZA,122
887,2019,Diciembre,VENUSTIANO CARRANZA,129
888,2020,Enero,VENUSTIANO CARRANZA,142
889,2020,Febrero,VENUSTIANO CARRANZA,144
890,2020,Marzo,VENUSTIANO CARRANZA,189
891,2020,Abril,VENUSTIANO CARRANZA,88
892,2020,Mayo,VENUSTIANO CARRANZA,78
900,2016,Enero,XOCHIMILCO,67
901,2016,Febrero,XOCHIMILCO,83
902,2016,Marzo,XOCHIMILCO,67
903,2016,Abril,XOCHIMILCO,63
904,2016,Mayo,XOCHIMILCO,96
905,2016,Junio,XOCHIMILCO,107
906,2016,Julio,XOCHIMILCO,59
907,2016,Agosto,XOCHIMILCO,76
908,2016,Septiembre,XOCHIMILCO,59
909,2016,Octubre,XOCHIMILCO,71
910,2016,Noviembre,XOCHIMILCO,71
911,2016,Diciembre,XOCHIMILCO,81
912,2017,Enero,XOCHIMILCO,73
913,2017,Febrero,XOCHIMILCO,87
914,2017,Marzo,XOCHIMILCO,77
915,2017,Abril,XOCHIMILCO,98
916,2017,Mayo,XOCHIMILCO,86
917,2017,Junio,XOCHIMILCO,122
918,2017,Julio,XOCHIMILCO,111
919,2017,Agosto,XOCHIMILCO,105
920,2017,Septiembre,XOCHIMILCO,90
921,2017,Octubre,XOCHIMILCO,89
922,2017,Noviembre,XOCHIMILCO,77
923,2017,Diciembre,XOCHIMILCO,88
924,2018,Enero,XOCHIMILCO,86
925,2018,Febrero,XOCHIMILCO,94
926,2018,Marzo,XOCHIMILCO,80
927,2018,Abril,XOCHIMILCO,110
928,2018,Mayo,XOCHIMILCO,103
929,2018,Junio,XOCHIMILCO,82
930,2018,Julio,XOCHIMILCO,75
931,2018,Agosto,XOCHIMILCO,56
932,2018,Septiembre,XOCHIMILCO,64
933,2018,Octubre,XOCHIMILCO,85
934,2018,Noviembre,XOCHIMILCO,65
935,2018,Diciembre,XOCHIMILCO,83
936,2019,Enero,XOCHIMILCO,80
937,2019,Febrero,XOCHIMILCO,54
938,2019,Marzo,XOCHIMILCO,88
939,2019,Abril,XOCHIMILCO,81
940,2019,Mayo,XOCHIMILCO,143
941,2019,Junio,XOCHIMILCO,110
942,2019,Julio,XOCHIMILCO,117
943,2019,Agosto,XOCHIMILCO,106
944,2019,Septiembre,XOCHIMILCO,118
945,2019,Octubre,XOCHIMILCO,97
946,2019,Noviembre,XOCHIMILCO,93
947,2019,Diciembre,XOCHIMILCO,97
948,2020,Enero,XOCHIMILCO,94
949,2020,Febrero,XOCHIMILCO,114
950,2020,Marzo,XOCHIMILCO,162
951,2020,Abril,XOCHIMILCO,109
952,2020,Mayo,XOCHIMILCO,96
